School Name,State Name [District] 2022-23,County Name [District] 2022-23,Web Site URL [District] 2022-23,Location Address 1 [District] 2022-23,Location City [District] 2022-23,Location ZIP [District] 2022-23,Phone Number [District] 2022-23,Locale [District] 2022-23,Latitude [District] 2022-23,Longitude [District] 2022-23,LEA Charter Status [District] 2022-23,"Total Students, All Grades (Excludes AE) [District] 2022-23","Total Students, All Grades (Includes AE) [District] 2022-23",Male Students [District] 2022-23,Female Students [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,AP Program Offered
TOLLESON ELEMENTARY DISTRICT (4264),ARIZONA,Maricopa County,http://www.tollesonschools.com/,9401 W GARFIELD ST,TOLLESON,85353,6235333900,21-Suburb: Large,33.455476,-112.260923,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,2859,2859,1428,1431,31,26,2339,297,115,5,46,NO
TOLLESON UNION HIGH SCHOOL DISTRICT (4288),ARIZONA,Maricopa County,http://www.tuhsd.org,9801 W VAN BUREN ST,TOLLESON,85353,6234784000,22-Suburb: Mid-size,33.449897,-112.269389,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,13741,13741,6938,6803,156,243,10793,1353,808,53,335,NO
TOLTEC SCHOOL DISTRICT (4450),ARIZONA,Pinal County,http://www.toltec.k12.az.us/Page/1,3315 N TOLTEC RD,ELOY,85131,5204662360,41-Rural: Fringe,32.785035,-111.621004,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1133,1133,579,554,34,4,715,72,284,5,19,NO
TRIVIUM PREPARATORY ACADEMY (90859),ARIZONA,Maricopa County,http://triviumprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,22-Suburb: Mid-size,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",894,894,452,442,3,89,316,55,355,7,69,NO
TWENTY FIRST CENTURY CHARTER SCHOOL INC. BENNETT (4310),ARIZONA,Maricopa County,http://www.bennettacademy.com,2930 W BETHANY HOME RD,PHOENIX,85017,6029431317,11-City: Large,33.524779,-112.122939,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",216,216,107,109,3,8,133,23,40,0,9,NO
UNION ELEMENTARY DISTRICT (4277),ARIZONA,Maricopa County,http://www.unionesd.org,3834 S 91ST AVE,TOLLESON,85353,6234785005,11-City: Large,33.411016,-112.256512,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1685,1685,878,807,55,18,1197,282,101,8,24,NO
VECTOR SCHOOL DISTRICT INC. (90317),ARIZONA,Maricopa County,http://vectorprepandarts.com/,2020 N Arizona Ave #5,CHANDLER,85225,8772252118,11-City: Large,33.337025,-111.843837,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",220,220,117,103,46,3,97,44,15,0,15,NO
VERITAS PREPARATORY ACADEMY (80992),ARIZONA,Maricopa County,http://veritasprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",801,801,374,427,3,44,178,20,498,5,53,NO
VILLA MONTESSORI CHARTER SCHOOL (4339),ARIZONA,Maricopa County,http://www.villamontessori.com,2802 E MEADOWBROOK AVE,PHOENIX,85016,6029552210,11-City: Large,33.50464,-112.020421,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",491,491,243,248,3,14,82,10,360,1,21,NO
VISTA COLLEGE PREPARATORY INC. (91948),ARIZONA,Maricopa County,http://www.vistacollegeprep.org,812 S 6TH AVE,PHOENIX,85003,6023747159,11-City: Large,33.43949,-112.081829,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1342,1342,676,666,1,4,1102,176,32,2,25,NO
WASHINGTON ELEMENTARY SCHOOL DISTRICT (4260),ARIZONA,Maricopa County,http://www.wesdschools.org/,4650 W SWEETWATER AVE,GLENDALE,85304,6023472600,11-City: Large,33.604407,-112.159394,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,19328,19328,10082,9246,642,542,10627,1976,4593,32,916,NO
WEST GILBERT CHARTER ELEMENTARY SCHOOL INC. (79497),ARIZONA,Maricopa County,http://imaginewestgilbert.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,4808552700,41-Rural: Fringe,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",296,296,148,148,1,1,160,19,100,1,14,NO
WEST GILBERT CHARTER MIDDLE SCHOOL INC. (79990),ARIZONA,Maricopa County,http://imaginewestgilbert.org/,2400 S 247TH AVE,BUCKEYE,85326,4808552700,11-City: Large,33.424889,-112.583164,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",79,79,39,40,3,1,33,12,22,1,7,NO
WEST VALLEY ARTS AND TECHNOLOGY ACADEMY INC. (90036),ARIZONA,Maricopa County,http://www.Riverbendprep.org,5625 S 51ST AVE,LAVEEN,85339,6022853003,11-City: Large,33.39498,-112.167071,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",247,247,130,117,19,3,147,61,6,0,11,NO
WEST-MEC - WESTERN MARICOPA EDUCATION CENTER (80923),ARIZONA,Maricopa County,http://www.west-mec.org,5487 N 99TH AVE,GLENDALE,85305,6237380022,11-City: Large,33.51517,-112.271701,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,292,292,164,128,4,9,0,30,226,3,20,NO
WESTERN SCHOOL OF SCIENCE AND TECHNOLOGY INC. (91937),ARIZONA,Maricopa County,http://western.cfacademy.school,6515 W INDIAN SCHOOL RD,PHOENIX,85033,6232493900,11-City: Large,33.493699,-112.200226,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",522,522,245,277,2,0,509,7,4,0,0,YES
WICKENBURG UNIFIED DISTRICT (4236),ARIZONA,Maricopa County,http://www.wickenburgschools.org/,101 COCONINO ST,WICKENBURG,85390,9286685350,41-Rural: Fringe,33.968197,-112.728728,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1298,1298,651,647,11,4,503,41,698,4,37,NO
WILSON ELEMENTARY DISTRICT (4261),ARIZONA,Maricopa County,http://www.wsd.k12.az.us,3025 E FILLMORE ST,PHOENIX,85008,6026812200,11-City: Large,33.454591,-112.0162,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1077,1077,532,545,16,3,896,126,24,4,8,NO
